,Title,Date,URL
42,섬굉7은 등장 시기기 참 묘함.,2023.10.25,/b/gaijin/89610501?before=2023-10-24T18%3A00%3A17Z
43,곱추쉑 기만체 새로 생겼네?(데브),2023.10.25,/b/gaijin/89610437?before=2023-10-24T18%3A00%3A17Z
44,연료 탑재부분은 꼭 개선해야 할듯,2023.10.25,/b/gaijin/89610341?before=2023-10-24T18%3A00%3A17Z
0,K-ERA에 대해,2023.10.25,/b/gaijin/89618107?before=2023-10-24T23%3A01%3A53Z
1,뭐 적외선 유도 대공미사일들 일부가 떡상했다고????,2023.10.25,/b/gaijin/89618047?before=2023-10-24T23%3A01%3A53Z
2,오젤롯은 그대로죠?,2023.10.25,/b/gaijin/89617925?before=2023-10-24T23%3A01%3A53Z
3,93식 시커가 저정도면,2023.10.25,/b/gaijin/89617746?before=2023-10-24T23%3A01%3A53Z
4,난 F-16 안좋아함,2023.10.25,/b/gaijin/89617723?before=2023-10-24T23%3A01%3A53Z
5,K-1 기대되는것,2023.10.25,/b/gaijin/89617639?before=2023-10-24T23%3A01%3A53Z
6,해리어 미친새끼노,2023.10.25,/b/gaijin/89617500?before=2023-10-24T23%3A01%3A53Z
7,맨패드 시커 거리 늘어났다고?,2023.10.25,/b/gaijin/89617403?before=2023-10-24T23%3A01%3A53Z
8,15식은 DTC02-105 들고올듯,2023.10.25,/b/gaijin/89617316?before=2023-10-24T23%3A01%3A53Z
9,KTX 탔는데 이거 머냐,2023.10.25,/b/gaijin/89617254?before=2023-10-24T23%3A01%3A53Z
10,존나꼴리는 F16등장씬 복습하자,2023.10.25,/b/gaijin/89616985?before=2023-10-24T23%3A01%3A53Z
11,할인 언제가 정배라고 보냐,2023.10.25,/b/gaijin/89616827?before=2023-10-24T23%3A01%3A53Z
12,아리에테는 좋아보이는 몇몇 스펙마저도,2023.10.25,/b/gaijin/89616775?before=2023-10-24T23%3A01%3A53Z
13,드디어 타국에도 판치르급 방공이 추가되기 시작하는건가,2023.10.25,/b/gaijin/89616748?before=2023-10-24T23%3A01%3A53Z
14,정말 보자마자 딱 안심이 되고 신뢰가 가는 장비,2023.10.25,/b/gaijin/89616632?before=2023-10-24T23%3A01%3A53Z
15,이씨발 념글보고 처음알았네,2023.10.25,/b/gaijin/89616610?before=2023-10-24T23%3A01%3A53Z
16,썬더가 월탱보다 나은 이유중 하나,2023.10.25,/b/gaijin/89616578?before=2023-10-24T23%3A01%3A53Z
17,짱미네이터는 어째 불이 잘 나는 느낌이야,2023.10.25,/b/gaijin/89616323?before=2023-10-24T23%3A01%3A53Z
18,앞으로 블루팀 대공의 희망은 일본이다,2023.10.25,/b/gaijin/89615992?before=2023-10-24T23%3A01%3A53Z
19,아이시발,2023.10.25,/b/gaijin/89615826?before=2023-10-24T23%3A01%3A53Z
20,역시 잠결에 썬더 돌리면 안되겠다,2023.10.25,/b/gaijin/89615643?before=2023-10-24T23%3A01%3A53Z
21,미갈 11.0이상 공격기는 왜 안푸는거지,2023.10.25,/b/gaijin/89615615?before=2023-10-24T23%3A01%3A53Z
